# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: scall.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   0000b000   ---        --------
               6   N   0000b000   0000e101   0000b004   x10_a0     00000000
               7   N   0000b004   00004e01   0000b006   ---        --------
               8   N   0000b006   00000297   0000b008   x28_t3     00000000
               9   N   0000b008   87828293   0000b00c   x05_t0     0000b008
              10   N   0000b00c   30529073   0000b010   x05_t0     0000a880
              11   N   0000b010   00004505   0000b014   ---        --------
              12   N   0000b014   0000057e   0000b016   x10_a0     00000001
              13   N   0000b016   00054863   0000b018   x10_a0     80000000
              14   N   0000b018   0ff0000f   0000b028   ---        --------
              17   N   0000b028   00028d63   0000b02c   x05_t0     00000000
              18   N   0000b02c   10529073   0000b046   ---        --------
              22   N   0000b046   00006509   0000b04a   ---        --------
              23   N   0000b04a   00006509   0000b04a   ---        --------
              24   N   0000b04a   80050513   0000b04c   x10_a0     00002000
              25   N   0000b04c   30052073   0000b050   x10_a0     00001800
              26   N   0000b050   00000297   0000b054   ---        --------
              27   N   0000b054   00000297   0000b054   ---        --------
              28   N   0000b054   03428293   0000b058   x05_t0     0000b054
              29   N   0000b058   34129073   0000b05c   x05_t0     0000b088
              30   N   0000b05c   f1402573   0000b060   ---        --------
              31   N   0000b060   30200073   0000b064   x10_a0     00000000
              33   N   0000b064   00000001   0000b088   ---        --------
              36   N   0000b088   00004321   0000b08a   x28_t3     00000002
              37   N   0000b08a   00006289   0000b08c   x06_t1     00000008
              38   N   0000b08c   80028293   0000b08e   x05_t0     00002000
              39   N   0000b08e   6289b073   0000b092   x05_t0     00001800
              41   N   0000b092   800223f3   0000b096   ---        --------
              42   N   0000b096   300023f3   0000b096   ---        --------
              43   N   0000b096   3002f2b3   0000b09a   x07_t2     00001880
              45   N   0000b09a   30008363   0000b09e   x05_t0     00001800
              47   N   0000b09e   0000432d   0000b0a2   ---        --------
              48   N   0000b0a2   00006289   0000b0a4   x06_t1     0000000b
              49   N   0000b0a4   80028293   0000b0a6   x05_t0     00002000
              50   N   0000b0a6   6289b073   0000b0aa   x05_t0     00001800
              52   N   0000b0aa   80020297   0000b0ae   ---        --------
              53   N   0000b0ae   00000297   0000b0ae   ---        --------
              54   N   0000b0ae   30028293   0000b0b2   x05_t0     0000b0ae
              56   N   0000b0b2   00009073   0000b0b6   x05_t0     0000b0be
              58   N   0000b0b6   01020073   0000b0ba   ---        --------
              61   N   0000b0ba   00004e05   0000b0be   ---        --------
              64   N   0000b0be   00000073   0000b0c0   x28_t3     00000001
              65   E   0000b0c0   0000a019   0000a880   mstatus    00001880
              65   E   0000b0c0   0000a019   0000a880   mepc       0000b0c0
              65   E   0000b0c0   0000a019   0000a880   mcause     0000000b
              65   E   0000b0c0   0000a019   0000a880   mtval      00000000
              68   N   0000a880   000047a1   0000a884   x14_a4     0000000b
              69   N   0000a884   04f70563   0000a886   x15_a5     00000008
              70   N   0000a886   000047a5   0000a88a   ---        --------
              71   N   0000a88a   04f70263   0000a88c   x15_a5     00000009
              72   N   0000a88c   000047ad   0000a890   ---        --------
              73   N   0000a890   00f70d63   0000a892   x15_a5     0000000b
              74   N   0000a892   47ad1717   0000a8ac   ---        --------
              77   N   0000a8ac   00000897   0000a8b0   x16_a6     f0000000
              78   N   0000a8b0   7d088893   0000a8b4   x17_a7     0000a8b0
              79   N   0000a8b4   00088783   0000a8b8   x17_a7     0000b080
              81   N   0000a8b8   00079463   0000a8bc   x15_a5     00000065
              82   N   0000a8bc   0610006f   0000a8c4   ---        --------
              86   N   0000a8c4   00000885   0000a8c8   ---        --------
              87   N   0000a8c8   fefff06f   0000a8ca   x17_a7     0000b081
              88   N   0000a8ca   00004505   0000a8b8   ---        --------
              92   N   0000a8b8   00079463   0000a8bc   x15_a5     0000006e
              93   N   0000a8bc   0610006f   0000a8c4   ---        --------
              97   N   0000a8c4   00000885   0000a8c8   ---        --------
              98   N   0000a8c8   fefff06f   0000a8ca   x17_a7     0000b082
              99   N   0000a8ca   00004505   0000a8b8   ---        --------
             103   N   0000a8b8   00079463   0000a8bc   x15_a5     00000076
             104   N   0000a8bc   0610006f   0000a8c4   ---        --------
             108   N   0000a8c4   00000885   0000a8c8   ---        --------
             109   N   0000a8c8   fefff06f   0000a8ca   x17_a7     0000b083
             110   N   0000a8ca   00004505   0000a8b8   ---        --------
             114   N   0000a8b8   00079463   0000a8bc   x15_a5     00000063
             115   N   0000a8bc   0610006f   0000a8c4   ---        --------
             119   N   0000a8c4   00000885   0000a8c8   ---        --------
             120   N   0000a8c8   fefff06f   0000a8ca   x17_a7     0000b084
             121   N   0000a8ca   00004505   0000a8b8   ---        --------
             125   N   0000a8b8   00079463   0000a8bc   x15_a5     00000061
             126   N   0000a8bc   0610006f   0000a8c4   ---        --------
             130   N   0000a8c4   00000885   0000a8c8   ---        --------
             131   N   0000a8c8   fefff06f   0000a8ca   x17_a7     0000b085
             132   N   0000a8ca   00004505   0000a8b8   ---        --------
             136   N   0000a8b8   00079463   0000a8bc   x15_a5     0000006c
             137   N   0000a8bc   0610006f   0000a8c4   ---        --------
             141   N   0000a8c4   00000885   0000a8c8   ---        --------
             142   N   0000a8c8   fefff06f   0000a8ca   x17_a7     0000b086
             143   N   0000a8ca   00004505   0000a8b8   ---        --------
             147   N   0000a8b8   00079463   0000a8bc   x15_a5     0000006c
             148   N   0000a8bc   0610006f   0000a8c4   ---        --------
             152   N   0000a8c4   00000885   0000a8c8   ---        --------
             153   N   0000a8c8   fefff06f   0000a8ca   x17_a7     0000b087
             154   N   0000a8ca   00004505   0000a8b8   ---        --------
             158   N   0000a8b8   00079463   0000a8bc   x15_a5     00000000
             159   N   0000a8bc   0610006f   0000a8c0   ---        --------
             160   N   0000a8c0   00f82023   0000b120   ---        --------
             163   N   0000b120   fd428293   0000b124   x05_t0     00000120
             164   N   0000b124   00008282   0000b128   x05_t0     000000f4
             165   N   0000b128   00000013   000000f4   ---        --------
             168   N   000000f4   0000006f   000000f8   ---        --------
             169   N   000000f8   ffffffff   000000f8   ---        --------
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: div.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   0000b000   ---        --------
               6   E   0000b000   8c6294e3   0000a880   mstatus    00001800
               6   E   0000b000   8c6294e3   0000a880   mepc       0000b000
               6   E   0000b000   8c6294e3   0000a880   mcause     00000002
               6   E   0000b000   8c6294e3   0000a880   mtval      00003020
               9   N   0000a880   000047a1   0000a884   x14_a4     00000002
              10   N   0000a884   04f70363   0000a886   x15_a5     00000008
              11   N   0000a886   000047a5   0000a88a   ---        --------
              12   N   0000a88a   04f70063   0000a88c   x15_a5     00000009
              13   N   0000a88c   000047ad   0000a890   ---        --------
              14   N   0000a890   00f70b63   0000a892   x15_a5     0000000b
              15   N   0000a892   47ad0713   0000a896   ---        --------
              17   N   0000a896   0000c311   0000a89a   x14_a4     00000000
              18   N   0000a89a   00008702   0000a89e   ---        --------
              22   N   0000a89e   27735463   0000a8a2   x14_a4     00000002
              24   N   0000a8a2   0000a015   0000a8ca   ---        --------
              27   N   0000a8ca   0550006f   0000a8cc   x10_a0     00000001
              28   N   0000a8cc   00000000   0000b120   ---        --------
              31   N   0000b120   fd428293   0000b124   x05_t0     00000120
              32   N   0000b124   00008282   0000b128   x05_t0     000000f4
              33   N   0000b128   00000013   000000f4   ---        --------
              36   N   000000f4   0000006f   000000f8   ---        --------
              37   N   000000f8   ffffffff   000000f8   ---        --------
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: divu.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   0000b000   ---        --------
